vintage,state_fips,soc_code,employment,wage,bill
2024,01,47-4031,300.0,41780.0,12534000.0
2024,01,47-4041,490.0,43070.0,21104300.0
2024,01,47-4051,2700.0,37370.0,100899000.0
2024,01,47-4061,220.0,52610.0,11574200.0
2024,01,47-4071,290.0,42690.0,12380100.0
2024,01,47-5012,90.0,79490.0,7154100.0
2024,01,47-5013,170.0,53500.0,9095000.0
2024,01,47-5022,470.0,48290.0,22696300.0
2024,01,47-5023,120.0,58140.0,6976800.0
2024,01,47-5032,80.0,71970.0,5757600.0
2024,01,47-5041,160.0,57750.0,9240000.0
2024,01,47-5071,40.0,49200.0,1968000.0
2024,01,49-1011,12790.0,76070.0,972935300.0
2024,01,49-2011,1160.0,47310.0,54879600.0
2024,01,49-2021,60.0,80250.0,4815000.0
2024,01,49-2022,3360.0,60960.0,204825600.0
2024,01,49-2091,1170.0,82060.0,96010200.0
2024,01,49-2092,80.0,51410.0,4112800.0
2024,01,49-2093,50.0,67900.0,3395000.0
2024,01,49-2094,970.0,69740.0,67647800.0
2024,01,49-2095,340.0,96790.0,32908600.0
2024,01,49-2097,120.0,48380.0,5805600.0
2024,01,49-2098,1230.0,54830.0,67440900.0
2024,01,49-3011,4600.0,77020.0,354292000.0
2024,01,49-3021,2060.0,52240.0,107614400.0
2024,01,49-3022,320.0,39830.0,12745600.0
2024,01,49-3023,9920.0,49770.0,493718400.0
2024,01,49-3031,5650.0,53370.0,301540500.0
2024,01,49-3041,780.0,52410.0,40879800.0
2024,01,49-3042,4050.0,62090.0,251464500.0
2024,01,49-3043,260.0,53960.0,14029600.0
2024,01,49-3051,440.0,48220.0,21216800.0
2024,01,49-3052,290.0,45570.0,13215300.0
2024,01,49-3053,510.0,42730.0,21792300.0
2024,01,49-3091,50.0,32620.0,1631000.0
2024,01,49-3092,320.0,36130.0,11561600.0
2024,01,49-3093,1780.0,31660.0,56354800.0
2024,01,49-9011,380.0,41280.0,15686400.0
2024,01,49-9012,420.0,64290.0,27001800.0
2024,01,49-9021,7330.0,52440.0,384385200.0
2024,01,49-9031,200.0,42130.0,8426000.0
2024,01,49-9041,17110.0,61680.0,1055344800.0
2024,01,49-9043,600.0,58150.0,34890000.0
2024,01,49-9044,1880.0,61980.0,116522400.0
2024,01,49-9045,90.0,44850.0,4036500.0
2024,01,49-9051,3120.0,79790.0,248944800.0
2024,01,49-9052,1470.0,61730.0,90743100.0
